Group,PID,AT,BT,CT,TAT,WT
RR,1,0,79,42401,42401,42322
RR,2,2,91,46623,46621,46530
RR,3,4,55,31896,31892,31837
RR,4,6,68,38920,38914,38846
RR,5,8,31,16159,16151,16120
RR,6,10,95,48337,48327,48232
RR,7,12,78,43689,43677,43599
RR,8,14,12,958,944,932
RR,9,16,38,22193,22177,22139
RR,10,18,37,22392,22374,22337
RR,11,20,18,6268,6248,6230
RR,12,22,97,49012,48990,48893
RR,13,24,90,47618,47594,47504
RR,14,26,19,8809,8783,8764
RR,15,28,20,9007,8979,8959
RR,16,30,83,46308,46278,46195
RR,17,32,50,31600,31568,31518
RR,18,34,73,43231,43197,43124
RR,19,36,59,37301,37265,37206
RR,20,38,46,29373,29335,29289
RR,21,40,26,14825,14785,14759
RR,22,42,60,37511,37469,37409
RR,23,44,20,10001,9957,9937
RR,24,46,73,43564,43518,43445
RR,25,48,29,18465,18417,18388
RR,26,50,10,1630,1580,1570
RR,27,52,32,20217,20165,20133
RR,28,54,74,43763,43709,43635
RR,29,56,37,24825,24769,24732
RR,30,58,83,46805,46747,46664
RR,31,60,46,30270,30210,30164
RR,32,62,50,32716,32654,32604
RR,33,64,32,20619,20555,20523
RR,34,66,12,3936,3870,3858
RR,35,68,69,42469,42401,42332
RR,36,70,25,16134,16064,16039
RR,37,72,24,14569,14497,14473
RR,38,74,51,34109,34035,33984
RR,39,76,61,39255,39179,39118
RR,40,78,17,9657,9579,9562
RR,41,80,95,49231,49151,49056
RR,42,82,11,4447,4365,4354
RR,43,84,87,47939,47855,47768
RR,44,86,94,48991,48905,48811
RR,45,88,100,49683,49595,49495
RR,46,90,45,30926,30836,30791
RR,47,92,57,37644,37552,37495
RR,48,94,74,44261,44167,44093
RR,49,96,77,45531,45435,45358
RR,50,98,48,32297,32199,32151
RR,51,100,62,39647,39547,39485
RR,52,102,39,27334,27232,27193
RR,53,104,54,35807,35703,35649
RR,54,106,85,47682,47576,47491
RR,55,108,14,7064,6956,6942
RR,56,110,71,43778,43668,43597
RR,57,112,37,26209,26097,26060
RR,58,114,51,34896,34782,34731
RR,59,116,94,49132,49016,48922
RR,60,118,38,26279,26161,26123
RR,61,120,44,30266,30146,30102
RR,62,122,43,30283,30161,30118
RR,63,124,40,27706,27582,27542
RR,64,126,12,5619,5493,5481
RR,65,128,10,3856,3728,3718
RR,66,130,86,47778,47648,47562
RR,67,132,63,40821,40689,40626
RR,68,134,93,49166,49032,48939
RR,69,136,39,27846,27710,27671
RR,70,138,63,40867,40729,40666
RR,71,140,74,44615,44475,44401
RR,72,142,12,5871,5729,5717
RR,73,144,92,48908,48764,48672
RR,74,146,53,36263,36117,36064
RR,75,148,89,48599,48451,48362
RR,76,150,63,40962,40812,40749
RR,77,152,52,35243,35091,35039
RR,78,154,63,40995,40841,40778
RR,79,156,78,45916,45760,45682
RR,80,158,39,28097,27939,27900
RR,81,160,51,35313,35153,35102
RR,82,162,11,6190,6028,6017
RR,83,164,69,43408,43244,43175
RR,84,166,74,44777,44611,44537
RR,85,168,49,34295,34127,34078
RR,86,170,67,42714,42544,42477
RR,87,172,37,26921,26749,26712
RR,88,174,69,43473,43299,43230
RR,89,176,44,30869,30693,30649
